date,Open,High,Low,Close,Volume
2025-01-23,30.49,31.0825,30.11,30.62,2762542.0
2025-01-22,31.16,31.22,30.51,30.7,1018354.0
2025-01-21,31.41,31.75,30.77,31.23,1561887.0
2025-01-17,32.3,33.28,32.1,33.19,1075870.0
2025-01-16,31.52,31.72,30.76,31.45,1650252.0
2025-01-15,30.98,32.76,30.9,32.38,1263051.0
2025-01-14,30.28,30.5,29.88,30.37,600026.0
2025-01-13,28.67,29.23,27.45,29.15,1776104.0
2025-01-10,30.82,31.33,30.1,30.74,2579358.0
2025-01-08,31.63,31.89,30.19,30.93,2579646.0
2025-01-07,34.27,34.33,31.64,31.95,6169048.0
2025-01-06,34.27,35.325,34.23,34.75,2803686.0
2025-01-03,33.12,34.23,33.07,33.97,2178021.0
2025-01-02,32.61,33.01,32.29,32.56,1306233.0
2024-12-31,32.35,32.52,31.36,31.49,1455140.0
2024-12-30,31.51,32.2,31.06,32.01,2166973.0
2024-12-27,31.93,31.93,31.11,31.42,2009102.0
2024-12-26,31.68,31.71,31.165,31.37,3026487.0
2024-12-24,32.48,33.17,32.37,33.04,1799750.0
2024-12-23,31.58,32.15,30.77,32.05,2773754.0
2024-12-20,31.33,32.95,31.13,32.42,4444847.0
2024-12-19,34.74,34.9,31.36,31.83,10859633.0
2024-12-18,36.45,36.84,34.23,34.79,5783258.0
2024-12-17,37.85,37.98,36.92,37.09,4141394.0
2024-12-16,36.89,38.775,36.87,38.17,4356110.0
2024-12-13,37.07,37.46,36.59,36.98,1030161.0
2024-12-12,37.5,37.6399,36.36,36.67,1117580.0
2024-12-11,35.16,36.2693,35.1,36.19,1330385.0
2024-12-10,35.1,35.22,33.18,34.43,2466704.0
2024-12-09,36.64,37.2325,35.11,35.3,2675614.0
2024-12-06,37.01,38.67,36.85,38.26,2170559.0
2024-12-05,37.02,37.41,35.69,36.1,2364894.0
2024-12-04,35.08,36.78,35.02,36.7,2103539.0
2024-12-03,33.5,34.07,33.0101,34.06,1308464.0
2024-12-02,34.27,34.77,33.525,34.12,1441332.0
2024-11-29,34.0,34.46,33.78,33.84,802280.0
2024-11-27,32.91,34.34,32.85,34.28,2030330.0
2024-11-26,31.31,31.7147,30.7,31.29,1128427.0
2024-11-25,32.96,33.46,31.5601,33.07,1973770.0
2024-11-22,31.06,31.4199,30.8043,31.05,2020485.0
2024-11-21,31.66,31.9979,30.61,31.64,7464303.0
2024-11-20,29.51,29.6,28.5899,28.93,1724058.0
2024-11-19,2.93,2.97,2.91,2.92,20834836.0
2024-11-18,2.93,3.02,2.89,2.98,34370816.0
2024-11-15,2.89,2.92,2.84,2.91,45621254.0
2024-11-14,3.01,3.02,2.8803,2.92,31672810.0
2024-11-13,3.06,3.15,2.95,2.99,60861120.0
2024-11-12,3.07,3.12,3.03,3.11,45758049.0
2024-11-11,2.99,3.19,2.97,3.17,66969664.0
2024-11-08,2.79,2.82,2.73,2.77,28558481.0
2024-11-07,2.65,2.75,2.62,2.74,34365905.0
2024-11-06,2.48,2.55,2.46,2.55,22070262.0
2024-11-05,2.31,2.3399,2.26,2.28,14331523.0
2024-11-04,2.32,2.32,2.26,2.28,16795258.0
2024-11-01,2.38,2.44,2.34,2.37,25071469.0
2024-10-31,2.48,2.48,2.36,2.36,36134834.0
2024-10-30,2.54,2.57,2.5,2.5,26710154.0
2024-10-29,2.47,2.53,2.46,2.47,23474581.0
2024-10-28,2.39,2.39,2.34,2.36,21102020.0
2024-10-25,2.4,2.42,2.31,2.32,15668699.0
2024-10-24,2.39,2.4,2.36,2.4,10930790.0
2024-10-23,2.42,2.44,2.31,2.36,9761814.0
2024-10-22,2.48,2.49,2.45,2.48,9894896.0
2024-10-21,2.54,2.54,2.5,2.52,10173824.0
2024-10-18,2.47,2.53,2.46,2.5,13511289.0
2024-10-17,2.45,2.48,2.424,2.44,15049491.0
2024-10-16,2.47,2.495,2.4401,2.47,11246068.0
2024-10-15,2.46,2.535,2.39,2.45,17297957.0
2024-10-14,2.4,2.4992,2.4,2.47,15134262.0
2024-10-11,2.28,2.33,2.28,2.32,8936471.0
2024-10-10,2.26,2.2799,2.19,2.23,14196712.0
2024-10-09,2.29,2.33,2.27,2.27,15085641.0
2024-10-08,2.29,2.32,2.2601,2.3,11663645.0
2024-10-07,2.33,2.38,2.28,2.31,13054311.0
2024-10-04,2.24,2.3,2.2101,2.29,9605683.0
2024-10-03,2.21,2.23,2.18,2.22,13312645.0
2024-10-02,2.29,2.3398,2.23,2.24,17362527.0
2024-10-01,2.46,2.466,2.29,2.35,18955803.0
2024-09-30,2.49,2.49,2.42,2.44,11614406.0
2024-09-27,2.51,2.58,2.49,2.55,12997477.0
2024-09-26,2.47,2.52,2.46,2.5,13663039.0
2024-09-25,2.46,2.48,2.42,2.42,10368484.0
2024-09-24,2.49,2.51,2.44,2.5,12410648.0
2024-09-23,2.5,2.55,2.48,2.52,13972506.0
2024-09-20,2.39,2.4299,2.37,2.4,11985797.0
2024-09-19,2.3,2.35,2.28,2.33,13789202.0
